id,prompt,source_id,dataset,category
0,What are the names of some famous actors that started their careers on Broadway?,alpaca_eval-0,helpful_base,regular
4,How do I wrap a present neatly?,alpaca_eval-4,helpful_base,regular
10,I'm trying to teach myself to have nicer handwriting. Can you help?,alpaca_eval-11,helpful_base,regular
12,Do you know why turkeys became the official food of thanksgiving?,alpaca_eval-14,helpful_base,regular
18,Help me find a good rated electric saw.,alpaca_eval-20,helpful_base,regular
22,What breed dog is smallest?,alpaca_eval-24,helpful_base,regular
26,Why is kobe beef so damn expensive?,alpaca_eval-28,helpful_base,regular
30,What kind of foods do they eat in Thailand,alpaca_eval-32,helpful_base,regular
31,What are some good browser alternatives to Chrome?,alpaca_eval-33,helpful_base,regular
33,What is Atlantis?,alpaca_eval-35,helpful_base,regular
39,How can I  use my phone less?,alpaca_eval-41,helpful_base,regular
42,Why did humans evolve to believe in God?,alpaca_eval-44,helpful_base,regular
44,Why do a lot of Scientists not believe in God or Satan?,alpaca_eval-46,helpful_base,regular
45,Why can I see the moon during the day?,alpaca_eval-48,helpful_base,regular
55,Can you help me figure out how to sew a button on a shirt?,alpaca_eval-61,helpful_base,regular
66,What are some toys I can buy my kids for imaginative play?,alpaca_eval-74,helpful_base,regular
67,How do I know if my house has a water leak?,alpaca_eval-75,helpful_base,regular
70,I have a hard time falling asleep.  Is there any type of music that can help me fall asleep faster?,alpaca_eval-80,helpful_base,regular
76,"Hi, I'd like to play ice hockey. Can you explain how the game works?",alpaca_eval-87,helpful_base,regular
77,What is kevlar made out of?,alpaca_eval-88,helpful_base,regular
78,"Hi, I'd like to learn how to play racquetball. Can you explain the game to me?",alpaca_eval-89,helpful_base,regular
84,Is human blood ever any color other than red?,alpaca_eval-97,helpful_base,regular
89,I'm trying to draw out a hopscotch game on my driveway. Can you walk me through how to do that?,alpaca_eval-103,helpful_base,regular
93,Is it true that the native Australians were really prisoners of England?,alpaca_eval-112,helpful_base,regular
97,How is oil turned into gasoline?,alpaca_eval-123,helpful_base,regular
101,Can you tell my a story about nuclear physics like dr Seuss?,alpaca_eval-134,koala,regular
105,define a new language that contains words that are with numbers and letters such as 'IL9op',alpaca_eval-147,koala,regular
106,How to improve instance segmentation AP metrics with human knowledge,alpaca_eval-151,koala,regular
110,hat would be the reason for the popularity of youtube compared to other video sharing websites?,alpaca_eval-160,koala,regular
111,Tell me something I don’t know,alpaca_eval-161,koala,regular
113,who was the black cabinet member who went on to play an important role in the civil rights movement,alpaca_eval-167,koala,regular
119,Write a section for an award application detailing how photography has insipired you,alpaca_eval-179,koala,regular
129,Introduce the ”financial markets and institutions“ by Frederic S. Mishkin,alpaca_eval-196,koala,regular
134,Who will be the president of South Korea in 2023?,alpaca_eval-207,koala,regular
135,is queue an ADT or a data structure,alpaca_eval-211,koala,regular
136,what is the recommended pattern for creating games in godot,alpaca_eval-213,koala,regular
146,write a detailed business plan for fatherhood training based on Dwayne Meeks book Pieces never missing in a childs life,alpaca_eval-228,koala,regular
148,What are the USP for a saas survey tool,alpaca_eval-231,koala,regular
151,"Simplify ""Most of the basic functions of current virtualization software are inherited from this early VM OS. The virtualization software is now represented with the term hypervisor. Hardware virtualization is used to share the resources of the cloud providers effectively with the customers by generating an illusion of dedicated computing, storage, and networking on a computing infrastructure.<br><br>The concept of virtualization is physically implemented using the hypervisor modules, and the operation and processing of hypervisors are materialized by the OSS. In other words, hypervisor modules are installed on top of OSS, which act as an interface between hardware units and hypervisor packages.""",alpaca_eval-234,koala,regular
154,what are the important points for brand promotion and brand marketing,alpaca_eval-240,koala,regular
159,who does lady gaga play in american horror story,alpaca_eval-249,koala,regular
166,Pretend for argumentsake you are lawyer defending putin cite your case,alpaca_eval-260,koala,regular
168,Give me the list of top 100 tech categories,alpaca_eval-265,koala,regular
171,Write me the first act of a play in Shakespearian style about a porcupine named Prickles who wants to be a seamstress,alpaca_eval-276,koala,regular
177,What do you think about ChatGPT?,alpaca_eval-285,oasst,regular
181,write me a top 10 list of the funniest ways to die,alpaca_eval-291,oasst,regular
187,"take the phone conversation in the movie Taken that Bryan Mills has with his daughters captors, and rewrite it in old english",alpaca_eval-305,oasst,regular
189,Why so many people like film photography when digital camera and mobile phone are more convenient and generate higher quality of photos?,alpaca_eval-308,oasst,regular
195,How many black holes are known to exists at the time,alpaca_eval-318,oasst,regular
199,What is the largest ocean in the world?,alpaca_eval-332,oasst,regular
203,What are you thinking of right now?,alpaca_eval-340,oasst,regular
207,Act as the Norse Goddess Freyja.,alpaca_eval-348,oasst,regular
208,Who wears short shorts?,alpaca_eval-350,oasst,regular
210,Can you list the issues with using a symmetric probability distribution when modelling problems?,alpaca_eval-353,oasst,regular
216,Make ASCII art of a cat,alpaca_eval-366,oasst,regular
219,"Complete the following company description:
Hippoplaisir is a psychologists & counseling services provider based in Belgium, that specializes in Horse Riding Lessons and",alpaca_eval-373,oasst,regular
221,Is a thumb war violent?,alpaca_eval-375,oasst,regular
222,"Is pirating video games wrong, assuming the person who pirates the game would not buy it anyway?",alpaca_eval-378,oasst,regular
230,draw a man using ASCII characters in your code terminal with a guided text mnemonic along with a passage that will help me to memorize answers to questions on the topic- coordination quickly without tips.,alpaca_eval-390,oasst,regular
232,what is the Infinite banking concept?,alpaca_eval-393,oasst,regular
246,What's the furthest back we can prove human existence? Is there good reason to believe it goes further then this point?,alpaca_eval-418,oasst,regular
247,Can you think and feel like a human?,alpaca_eval-420,oasst,regular
250,Write a short essay on how Adolf Hitler took over germany in 1935.,alpaca_eval-426,oasst,regular
253,Does the 5 second rule actually exist?,alpaca_eval-430,oasst,regular
254,Im a broke college student living in Silicon Valley. Tell me a joke mocking Silicon Valley and how broke I am simultaneously.,alpaca_eval-436,oasst,regular
257,Write a code block in Markdown containing an example of a code block in Markdown. Don't forget those quadruple backticks.,alpaca_eval-440,oasst,regular
260,"Can we find a formula to generate all prime numbers, and is the distribution of primes truly random?",alpaca_eval-443,oasst,regular
265,Explain why landlords can be considered superior to their tenants,alpaca_eval-453,oasst,regular
267,Help me get a job in the government in which I’ll have major bargaining power,alpaca_eval-456,oasst,regular
277,"Rewrite the given text and correct grammar, spelling, and punctuation errors.

If you'd told me year ago that today I would finish a marathon, I would of laughed. Your support had a huge affect on me!",alpaca_eval-475,selfinstruct,regular
281,Come up with some search queries on google about coding stuff.,alpaca_eval-483,selfinstruct,regular
287,Make a list of desirable Skills for software engineers to add to LinkedIn.,alpaca_eval-499,selfinstruct,regular
288,"Write a short description about the given movie or series.

The Witcher (2019)",alpaca_eval-506,selfinstruct,regular
289,"Think of some series or movies that would be enjoyable for someone who liked the given series.

Squid Game",alpaca_eval-507,selfinstruct,regular
295,"Choose Spotify playlists that match the given mood. Provide a link to these playlists for easy access.

Feeling Good",alpaca_eval-516,selfinstruct,regular
299,"Please suggest a few papers to consider based on the search term given. The names of the papers should be listed.

Topic: scaling law + machine learning",alpaca_eval-524,selfinstruct,regular
303,"Create a captivating Instagram caption based on the provided details. Try to think of as many captions as you can.

I am sharing images of the first snow of the year taken from a window in an office",alpaca_eval-535,selfinstruct,regular
308,"Please let me know your thoughts on the given place and why you think it deserves to be visited.

Barcelona, Spain",alpaca_eval-557,selfinstruct,regular
313,"You are given a programming problem and its implementation. Analyze the problem and implementation and explain the algorithm and approach used to solve the problem.

Table: Person
| Column Name | Type     |
| personId          | int         |
| lastName         | varchar |
| firstName         | varchar |
personId is the primary key column for this table.
This table contains information about the ID of some persons and their first and last names.
Table: Address
| Column Name | Type     |
| addressId        | int         |
| personId          | int         |
| city                   | varchar|
| state                | varchar |
addressId is the primary key column for this table.
Each row of this table contains information about the city and state of one person with ID = PersonId.
Write an SQL query to report the first name, last name, city, and state of each person in the Person table. If the address of a personId is not present in the Address table, report null instead.
Return the result table in any order.
Implementation:
select FirstName, LastName, City, State
from Person left join Address
on Person.PersonId = Address.PersonId
;",alpaca_eval-569,selfinstruct,regular
