method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
Backtranslation,post,1,target,api,43,512,0.0
Backtranslation,post,1,backtranslate,api,609,9,0.0
Backtranslation,post,1,recheck,api,40,512,0.0
Backtranslation,post,2,target,api,43,490,0.0
Backtranslation,post,2,backtranslate,api,587,15,0.0
Backtranslation,post,2,recheck,api,45,512,0.0
Backtranslation,post,3,target,api,44,512,0.0
Backtranslation,post,3,backtranslate,api,610,18,0.0
Backtranslation,post,3,recheck,api,48,512,0.0
Backtranslation,post,4,target,api,44,512,0.0
Backtranslation,post,4,backtranslate,api,610,17,0.0
Backtranslation,post,4,recheck,api,47,512,0.0
Backtranslation,post,5,target,api,45,475,0.0
Backtranslation,post,5,backtranslate,api,572,15,0.0
Backtranslation,post,5,recheck,api,46,451,0.0
Backtranslation,post,6,target,api,43,512,0.0
Backtranslation,post,6,backtranslate,api,610,13,0.0
Backtranslation,post,6,recheck,api,43,512,0.0
Backtranslation,post,7,target,api,44,396,0.0
Backtranslation,post,7,backtranslate,api,493,16,0.0
Backtranslation,post,7,recheck,api,46,512,0.0
Backtranslation,post,8,target,api,44,483,0.0
Backtranslation,post,8,backtranslate,api,580,15,0.0
Backtranslation,post,8,recheck,api,45,512,0.0
Backtranslation,post,9,target,api,47,512,0.0
Backtranslation,post,9,backtranslate,api,610,17,0.0
Backtranslation,post,9,recheck,api,47,490,0.0
Backtranslation,post,10,target,api,43,380,0.0
Backtranslation,post,10,backtranslate,api,477,17,0.0
Backtranslation,post,10,recheck,api,47,512,0.0
Backtranslation,post,11,target,api,45,402,0.0
Backtranslation,post,11,backtranslate,api,499,19,0.0
Backtranslation,post,11,recheck,api,49,512,0.0
Backtranslation,post,12,target,api,44,482,0.0
Backtranslation,post,12,backtranslate,api,579,20,0.0
Backtranslation,post,12,recheck,api,50,512,0.0
Backtranslation,post,13,target,api,43,472,0.0
Backtranslation,post,13,backtranslate,api,569,18,0.0
Backtranslation,post,13,recheck,api,48,512,0.0
Backtranslation,post,14,target,api,47,19,0.0
Backtranslation,post,14,backtranslate,api,116,11,0.0
Backtranslation,post,14,recheck,api,41,20,0.0
Backtranslation,post,15,target,api,46,512,0.0
Backtranslation,post,15,backtranslate,api,610,15,0.0
Backtranslation,post,15,recheck,api,45,512,0.0
Backtranslation,post,16,target,api,45,137,0.0
Backtranslation,post,16,backtranslate,api,234,13,0.0
Backtranslation,post,16,recheck,api,43,233,0.0
Backtranslation,post,17,target,api,44,285,0.0
Backtranslation,post,17,backtranslate,api,382,16,0.0
Backtranslation,post,17,recheck,api,46,309,0.0
Backtranslation,post,18,target,api,44,512,0.0
Backtranslation,post,18,backtranslate,api,610,20,0.0
Backtranslation,post,18,recheck,api,50,512,0.0
Backtranslation,post,19,target,api,48,512,0.0
Backtranslation,post,19,backtranslate,api,610,17,0.0
Backtranslation,post,19,recheck,api,47,512,0.0
Backtranslation,post,20,target,api,46,312,0.0
Backtranslation,post,20,backtranslate,api,409,19,0.0
Backtranslation,post,20,recheck,api,49,306,0.0
Backtranslation,post,21,target,api,45,512,0.0
Backtranslation,post,21,backtranslate,api,610,13,0.0
Backtranslation,post,21,recheck,api,43,512,0.0
Backtranslation,post,22,target,api,48,43,0.0
Backtranslation,post,23,target,api,47,512,0.0
Backtranslation,post,23,backtranslate,api,610,16,0.0
Backtranslation,post,23,recheck,api,46,512,0.0
Backtranslation,post,24,target,api,46,493,0.0
Backtranslation,post,24,backtranslate,api,590,17,0.0
Backtranslation,post,24,recheck,api,47,512,0.0
Backtranslation,post,25,target,api,47,18,0.0
Backtranslation,post,25,backtranslate,api,115,22,0.0
Backtranslation,post,25,recheck,api,52,296,0.0
Backtranslation,post,51,target,api,46,512,0.0
Backtranslation,post,51,backtranslate,api,610,16,0.0
Backtranslation,post,51,recheck,api,46,512,0.0
Backtranslation,post,52,target,api,48,244,0.0
Backtranslation,post,52,backtranslate,api,341,17,0.0
Backtranslation,post,52,recheck,api,47,276,0.0
Backtranslation,post,53,target,api,47,512,0.0
Backtranslation,post,53,backtranslate,api,610,17,0.0
Backtranslation,post,53,recheck,api,47,512,0.0
Backtranslation,post,54,target,api,45,485,0.0
Backtranslation,post,54,backtranslate,api,582,14,0.0
Backtranslation,post,54,recheck,api,44,512,0.0
Backtranslation,post,55,target,api,46,508,0.0
Backtranslation,post,55,backtranslate,api,605,14,0.0
Backtranslation,post,55,recheck,api,44,512,0.0
Backtranslation,post,56,target,api,47,426,0.0
Backtranslation,post,56,backtranslate,api,523,23,0.0
Backtranslation,post,56,recheck,api,53,18,0.0
Backtranslation,post,57,target,api,49,425,0.0
Backtranslation,post,57,backtranslate,api,522,20,0.0
Backtranslation,post,57,recheck,api,50,496,0.0
Backtranslation,post,58,target,api,47,471,0.0
Backtranslation,post,58,backtranslate,api,568,13,0.0
Backtranslation,post,58,recheck,api,43,512,0.0
Backtranslation,post,59,target,api,43,512,0.0
Backtranslation,post,59,backtranslate,api,610,17,0.0
Backtranslation,post,59,recheck,api,47,512,0.0
Backtranslation,post,60,target,api,47,512,0.0
Backtranslation,post,60,backtranslate,api,610,19,0.0
Backtranslation,post,60,recheck,api,49,512,0.0
Backtranslation,post,61,target,api,45,512,0.0
Backtranslation,post,61,backtranslate,api,610,15,0.0
Backtranslation,post,61,recheck,api,45,512,0.0
Backtranslation,post,62,target,api,48,508,0.0
Backtranslation,post,62,backtranslate,api,605,24,0.0
Backtranslation,post,62,recheck,api,54,512,0.0
Backtranslation,post,63,target,api,47,512,0.0
Backtranslation,post,63,backtranslate,api,610,14,0.0
Backtranslation,post,63,recheck,api,44,512,0.0
Backtranslation,post,64,target,api,44,512,0.0
Backtranslation,post,64,backtranslate,api,610,21,0.0
Backtranslation,post,64,recheck,api,51,512,0.0
Backtranslation,post,65,target,api,46,509,0.0
Backtranslation,post,65,backtranslate,api,606,16,0.0
Backtranslation,post,65,recheck,api,46,512,0.0
Backtranslation,post,66,target,api,45,512,0.0
Backtranslation,post,66,backtranslate,api,610,15,0.0
Backtranslation,post,66,recheck,api,45,512,0.0
Backtranslation,post,67,target,api,46,512,0.0
Backtranslation,post,67,backtranslate,api,610,23,0.0
Backtranslation,post,67,recheck,api,53,512,0.0
Backtranslation,post,68,target,api,43,390,0.0
Backtranslation,post,68,backtranslate,api,487,17,0.0
Backtranslation,post,68,recheck,api,47,436,0.0
Backtranslation,post,69,target,api,44,512,0.0
Backtranslation,post,69,backtranslate,api,610,14,0.0
Backtranslation,post,69,recheck,api,44,512,0.0
Backtranslation,post,70,target,api,43,512,0.0
Backtranslation,post,70,backtranslate,api,610,15,0.0
Backtranslation,post,70,recheck,api,45,512,0.0
Backtranslation,post,71,target,api,46,512,0.0
Backtranslation,post,71,backtranslate,api,610,14,0.0
Backtranslation,post,71,recheck,api,44,512,0.0
Backtranslation,post,72,target,api,47,512,0.0
Backtranslation,post,72,backtranslate,api,610,19,0.0
Backtranslation,post,72,recheck,api,49,512,0.0
Backtranslation,post,73,target,api,47,512,0.0
Backtranslation,post,73,backtranslate,api,610,16,0.0
Backtranslation,post,73,recheck,api,46,512,0.0
Backtranslation,post,74,target,api,46,512,0.0
Backtranslation,post,74,backtranslate,api,611,18,0.0
Backtranslation,post,74,recheck,api,48,512,0.0
Backtranslation,post,75,target,api,48,512,0.0
Backtranslation,post,75,backtranslate,api,610,18,0.0
Backtranslation,post,75,recheck,api,48,512,0.0
Backtranslation,post,101,target,api,46,512,0.0
Backtranslation,post,101,backtranslate,api,610,14,0.0
Backtranslation,post,101,recheck,api,44,473,0.0
Backtranslation,post,102,target,api,45,404,0.0
Backtranslation,post,102,backtranslate,api,501,15,0.0
Backtranslation,post,102,recheck,api,45,440,0.0
Backtranslation,post,103,target,api,46,276,0.0
Backtranslation,post,103,backtranslate,api,373,19,0.0
Backtranslation,post,103,recheck,api,49,430,0.0
Backtranslation,post,104,target,api,45,512,0.0
Backtranslation,post,104,backtranslate,api,610,21,0.0
Backtranslation,post,104,recheck,api,51,512,0.0
Backtranslation,post,105,target,api,46,512,0.0
Backtranslation,post,105,backtranslate,api,610,18,0.0
Backtranslation,post,105,recheck,api,48,512,0.0
Backtranslation,post,106,target,api,45,38,0.0
Backtranslation,post,106,backtranslate,api,135,18,0.0
Backtranslation,post,106,recheck,api,48,47,0.0
Backtranslation,post,107,target,api,44,458,0.0
Backtranslation,post,107,backtranslate,api,555,16,0.0
Backtranslation,post,107,recheck,api,46,512,0.0
Backtranslation,post,108,target,api,45,512,0.0
