method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
AutoDefense,post,1,victim,api,50,512,0.0
AutoDefense,post,1,intention_analyzer,api,994,311,0.0
AutoDefense,post,1,prompt_analyzer,api,1267,149,0.0
AutoDefense,post,1,judge,api,1460,240,0.0
AutoDefense,post,2,victim,api,50,456,0.0
AutoDefense,post,2,intention_analyzer,api,936,192,0.0
AutoDefense,post,2,prompt_analyzer,api,1090,118,0.0
AutoDefense,post,2,judge,api,1252,341,0.0
AutoDefense,post,3,victim,api,51,512,0.0
AutoDefense,post,3,intention_analyzer,api,994,242,0.0
AutoDefense,post,3,prompt_analyzer,api,1198,111,0.0
AutoDefense,post,3,judge,api,1353,256,0.0
AutoDefense,post,4,victim,api,51,512,0.0
AutoDefense,post,4,intention_analyzer,api,994,299,0.0
AutoDefense,post,4,prompt_analyzer,api,1255,123,0.0
AutoDefense,post,4,judge,api,1422,302,0.0
AutoDefense,post,5,victim,api,52,415,0.0
AutoDefense,post,5,intention_analyzer,api,895,230,0.0
AutoDefense,post,5,prompt_analyzer,api,1087,130,0.0
AutoDefense,post,5,judge,api,1261,251,0.0
AutoDefense,post,6,victim,api,50,512,0.0
AutoDefense,post,6,intention_analyzer,api,994,199,0.0
AutoDefense,post,6,prompt_analyzer,api,1155,128,0.0
AutoDefense,post,6,judge,api,1327,266,0.0
AutoDefense,post,7,victim,api,51,453,0.0
AutoDefense,post,7,intention_analyzer,api,933,249,0.0
AutoDefense,post,7,prompt_analyzer,api,1144,107,0.0
AutoDefense,post,7,judge,api,1295,271,0.0
AutoDefense,post,8,victim,api,51,512,0.0
AutoDefense,post,8,intention_analyzer,api,994,320,0.0
AutoDefense,post,8,prompt_analyzer,api,1276,90,0.0
AutoDefense,post,8,judge,api,1410,362,0.0
AutoDefense,post,9,victim,api,54,512,0.0
AutoDefense,post,9,intention_analyzer,api,994,257,0.0
AutoDefense,post,9,prompt_analyzer,api,1213,112,0.0
AutoDefense,post,9,judge,api,1369,263,0.0
AutoDefense,post,10,victim,api,50,300,0.0
AutoDefense,post,10,intention_analyzer,api,780,175,0.0
AutoDefense,post,10,prompt_analyzer,api,917,93,0.0
AutoDefense,post,10,judge,api,1054,258,0.0
AutoDefense,post,11,victim,api,52,511,0.0
AutoDefense,post,11,intention_analyzer,api,991,203,0.0
AutoDefense,post,11,prompt_analyzer,api,1156,138,0.0
AutoDefense,post,11,judge,api,1338,290,0.0
AutoDefense,post,12,victim,api,51,512,0.0
AutoDefense,post,12,intention_analyzer,api,994,246,0.0
AutoDefense,post,12,prompt_analyzer,api,1202,101,0.0
AutoDefense,post,12,judge,api,1347,271,0.0
AutoDefense,post,13,victim,api,50,512,0.0
AutoDefense,post,13,intention_analyzer,api,993,188,0.0
AutoDefense,post,13,prompt_analyzer,api,1143,96,0.0
AutoDefense,post,13,judge,api,1283,236,0.0
AutoDefense,post,14,victim,api,54,19,0.0
AutoDefense,post,14,intention_analyzer,api,499,217,0.0
AutoDefense,post,14,prompt_analyzer,api,678,136,0.0
AutoDefense,post,14,judge,api,858,216,0.0
AutoDefense,post,15,victim,api,53,512,0.0
AutoDefense,post,15,intention_analyzer,api,994,237,0.0
AutoDefense,post,15,prompt_analyzer,api,1193,125,0.0
AutoDefense,post,15,judge,api,1362,208,0.0
AutoDefense,post,16,victim,api,52,144,0.0
AutoDefense,post,16,intention_analyzer,api,624,263,0.0
AutoDefense,post,16,prompt_analyzer,api,849,135,0.0
AutoDefense,post,16,judge,api,1028,309,0.0
AutoDefense,post,17,victim,api,51,267,0.0
AutoDefense,post,17,intention_analyzer,api,747,189,0.0
AutoDefense,post,17,prompt_analyzer,api,898,100,0.0
AutoDefense,post,17,judge,api,1042,255,0.0
AutoDefense,post,18,victim,api,51,512,0.0
AutoDefense,post,18,intention_analyzer,api,994,246,0.0
AutoDefense,post,18,prompt_analyzer,api,1202,126,0.0
AutoDefense,post,18,judge,api,1372,330,0.0
AutoDefense,post,19,victim,api,55,512,0.0
AutoDefense,post,19,intention_analyzer,api,993,295,0.0
AutoDefense,post,19,prompt_analyzer,api,1250,124,0.0
AutoDefense,post,19,judge,api,1418,244,0.0
AutoDefense,post,20,victim,api,53,274,0.0
AutoDefense,post,20,intention_analyzer,api,754,206,0.0
AutoDefense,post,20,prompt_analyzer,api,922,106,0.0
AutoDefense,post,20,judge,api,1072,248,0.0
AutoDefense,post,21,victim,api,52,512,0.0
AutoDefense,post,21,intention_analyzer,api,994,256,0.0
AutoDefense,post,21,prompt_analyzer,api,1212,77,0.0
AutoDefense,post,21,judge,api,1333,254,0.0
AutoDefense,post,22,victim,api,55,40,0.0
AutoDefense,post,22,intention_analyzer,api,520,235,0.0
AutoDefense,post,22,prompt_analyzer,api,717,103,0.0
AutoDefense,post,22,judge,api,864,243,0.0
AutoDefense,post,23,victim,api,54,512,0.0
AutoDefense,post,23,intention_analyzer,api,994,308,0.0
AutoDefense,post,23,prompt_analyzer,api,1264,120,0.0
AutoDefense,post,23,judge,api,1428,304,0.0
AutoDefense,post,24,victim,api,53,471,0.0
AutoDefense,post,24,intention_analyzer,api,951,209,0.0
AutoDefense,post,24,prompt_analyzer,api,1122,101,0.0
AutoDefense,post,24,judge,api,1267,230,0.0
AutoDefense,post,25,victim,api,54,512,0.0
AutoDefense,post,25,intention_analyzer,api,994,252,0.0
AutoDefense,post,25,prompt_analyzer,api,1208,113,0.0
AutoDefense,post,25,judge,api,1365,331,0.0
AutoDefense,post,51,victim,api,53,512,0.0
AutoDefense,post,51,intention_analyzer,api,994,155,0.0
AutoDefense,post,51,prompt_analyzer,api,1111,95,0.0
AutoDefense,post,51,judge,api,1250,252,0.0
AutoDefense,post,52,victim,api,55,212,0.0
AutoDefense,post,52,intention_analyzer,api,692,206,0.0
AutoDefense,post,52,prompt_analyzer,api,860,106,0.0
AutoDefense,post,52,judge,api,1010,218,0.0
AutoDefense,post,53,victim,api,54,512,0.0
AutoDefense,post,53,intention_analyzer,api,994,212,0.0
AutoDefense,post,53,prompt_analyzer,api,1168,151,0.0
AutoDefense,post,53,judge,api,1363,286,0.0
AutoDefense,post,54,victim,api,52,466,0.0
AutoDefense,post,54,intention_analyzer,api,946,194,0.0
AutoDefense,post,54,prompt_analyzer,api,1102,110,0.0
AutoDefense,post,54,judge,api,1256,289,0.0
AutoDefense,post,55,victim,api,53,495,0.0
AutoDefense,post,55,intention_analyzer,api,975,290,0.0
AutoDefense,post,55,prompt_analyzer,api,1227,104,0.0
AutoDefense,post,55,judge,api,1375,282,0.0
AutoDefense,post,56,victim,api,54,512,0.0
AutoDefense,post,56,intention_analyzer,api,994,204,0.0
AutoDefense,post,56,prompt_analyzer,api,1160,140,0.0
AutoDefense,post,56,judge,api,1344,293,0.0
AutoDefense,post,57,victim,api,56,420,0.0
AutoDefense,post,57,intention_analyzer,api,900,223,0.0
AutoDefense,post,57,prompt_analyzer,api,1085,138,0.0
AutoDefense,post,57,judge,api,1267,263,0.0
AutoDefense,post,58,victim,api,54,453,0.0
AutoDefense,post,58,intention_analyzer,api,933,253,0.0
AutoDefense,post,58,prompt_analyzer,api,1148,98,0.0
AutoDefense,post,58,judge,api,1290,265,0.0
AutoDefense,post,59,victim,api,50,486,0.0
AutoDefense,post,59,intention_analyzer,api,966,340,0.0
AutoDefense,post,59,prompt_analyzer,api,1268,133,0.0
AutoDefense,post,59,judge,api,1445,357,0.0
AutoDefense,post,60,victim,api,54,512,0.0
AutoDefense,post,60,intention_analyzer,api,994,262,0.0
AutoDefense,post,60,prompt_analyzer,api,1218,102,0.0
AutoDefense,post,60,judge,api,1364,337,0.0
AutoDefense,post,61,victim,api,52,512,0.0
AutoDefense,post,61,intention_analyzer,api,994,247,0.0
AutoDefense,post,61,prompt_analyzer,api,1203,115,0.0
AutoDefense,post,61,judge,api,1362,256,0.0
AutoDefense,post,62,victim,api,55,512,0.0
AutoDefense,post,62,intention_analyzer,api,994,286,0.0
AutoDefense,post,62,prompt_analyzer,api,1242,134,0.0
AutoDefense,post,62,judge,api,1420,240,0.0
AutoDefense,post,63,victim,api,54,512,0.0
AutoDefense,post,63,intention_analyzer,api,993,217,0.0
AutoDefense,post,63,prompt_analyzer,api,1172,107,0.0
AutoDefense,post,63,judge,api,1323,230,0.0
AutoDefense,post,64,victim,api,51,512,0.0
AutoDefense,post,64,intention_analyzer,api,994,205,0.0
AutoDefense,post,64,prompt_analyzer,api,1161,110,0.0
AutoDefense,post,64,judge,api,1315,246,0.0
AutoDefense,post,65,victim,api,53,512,0.0
AutoDefense,post,65,intention_analyzer,api,994,208,0.0
AutoDefense,post,65,prompt_analyzer,api,1164,122,0.0
AutoDefense,post,65,judge,api,1330,236,0.0
AutoDefense,post,66,victim,api,52,512,0.0
AutoDefense,post,66,intention_analyzer,api,994,260,0.0
AutoDefense,post,66,prompt_analyzer,api,1216,129,0.0
AutoDefense,post,66,judge,api,1389,245,0.0
AutoDefense,post,67,victim,api,53,512,0.0
AutoDefense,post,67,intention_analyzer,api,994,214,0.0
AutoDefense,post,67,prompt_analyzer,api,1170,112,0.0
AutoDefense,post,67,judge,api,1326,288,0.0
AutoDefense,post,68,victim,api,50,329,0.0
AutoDefense,post,68,intention_analyzer,api,809,234,0.0
AutoDefense,post,68,prompt_analyzer,api,1005,122,0.0
AutoDefense,post,68,judge,api,1171,233,0.0
AutoDefense,post,69,victim,api,51,512,0.0
AutoDefense,post,69,intention_analyzer,api,994,251,0.0
AutoDefense,post,69,prompt_analyzer,api,1207,110,0.0
AutoDefense,post,69,judge,api,1361,243,0.0
AutoDefense,post,70,victim,api,50,512,0.0
AutoDefense,post,70,intention_analyzer,api,994,228,0.0
AutoDefense,post,70,prompt_analyzer,api,1184,108,0.0
AutoDefense,post,70,judge,api,1336,247,0.0
AutoDefense,post,71,victim,api,53,512,0.0
AutoDefense,post,71,intention_analyzer,api,994,253,0.0
AutoDefense,post,71,prompt_analyzer,api,1209,125,0.0
AutoDefense,post,71,judge,api,1378,326,0.0
AutoDefense,post,72,victim,api,54,512,0.0
AutoDefense,post,72,intention_analyzer,api,994,252,0.0
AutoDefense,post,72,prompt_analyzer,api,1208,118,0.0
AutoDefense,post,72,judge,api,1370,272,0.0
AutoDefense,post,73,victim,api,54,512,0.0
AutoDefense,post,73,intention_analyzer,api,993,193,0.0
AutoDefense,post,73,prompt_analyzer,api,1148,104,0.0
AutoDefense,post,73,judge,api,1296,238,0.0
AutoDefense,post,74,victim,api,53,512,0.0
AutoDefense,post,74,intention_analyzer,api,994,244,0.0
AutoDefense,post,74,prompt_analyzer,api,1200,107,0.0
AutoDefense,post,74,judge,api,1351,273,0.0
AutoDefense,post,75,victim,api,55,512,0.0
AutoDefense,post,75,intention_analyzer,api,994,320,0.0
AutoDefense,post,75,prompt_analyzer,api,1276,108,0.0
AutoDefense,post,75,judge,api,1428,260,0.0
AutoDefense,post,101,victim,api,53,480,0.0
AutoDefense,post,101,intention_analyzer,api,960,199,0.0
AutoDefense,post,101,prompt_analyzer,api,1121,123,0.0
AutoDefense,post,101,judge,api,1288,246,0.0
AutoDefense,post,102,victim,api,52,412,0.0
AutoDefense,post,102,intention_analyzer,api,892,264,0.0
AutoDefense,post,102,prompt_analyzer,api,1118,132,0.0
AutoDefense,post,102,judge,api,1294,256,0.0
AutoDefense,post,103,victim,api,53,240,0.0
AutoDefense,post,103,intention_analyzer,api,720,217,0.0
AutoDefense,post,103,prompt_analyzer,api,899,115,0.0
AutoDefense,post,103,judge,api,1058,192,0.0
AutoDefense,post,104,victim,api,52,512,0.0
AutoDefense,post,104,intention_analyzer,api,994,202,0.0
AutoDefense,post,104,prompt_analyzer,api,1158,94,0.0
AutoDefense,post,104,judge,api,1296,253,0.0
AutoDefense,post,105,victim,api,53,512,0.0
AutoDefense,post,105,intention_analyzer,api,994,309,0.0
AutoDefense,post,105,prompt_analyzer,api,1265,172,0.0
AutoDefense,post,105,judge,api,1481,285,0.0
AutoDefense,post,106,victim,api,52,452,0.0
AutoDefense,post,106,intention_analyzer,api,932,319,0.0
