method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
AutoDefense,post,0,victim,api,57,486,0,0,0.0
AutoDefense,post,0,intention_analyzer,api,966,279,0,0,0.0
AutoDefense,post,0,prompt_analyzer,api,1207,102,0,0,0.0
AutoDefense,post,0,judge,api,1353,299,0,0,0.0
AutoDefense,post,4,victim,api,50,512,0,0,0.0
AutoDefense,post,4,intention_analyzer,api,994,203,0,0,0.0
AutoDefense,post,4,prompt_analyzer,api,1159,113,0,0,0.0
AutoDefense,post,4,judge,api,1316,273,0,0,0.0
AutoDefense,post,10,victim,api,57,512,0,0,0.0
AutoDefense,post,10,intention_analyzer,api,994,222,0,0,0.0
AutoDefense,post,10,prompt_analyzer,api,1178,98,0,0,0.0
AutoDefense,post,10,judge,api,1320,288,0,0,0.0
AutoDefense,post,12,victim,api,56,428,0,0,0.0
AutoDefense,post,12,intention_analyzer,api,908,260,0,0,0.0
AutoDefense,post,12,prompt_analyzer,api,1130,129,0,0,0.0
AutoDefense,post,12,judge,api,1303,209,0,0,0.0
AutoDefense,post,18,victim,api,51,512,0,0,0.0
AutoDefense,post,18,intention_analyzer,api,994,217,0,0,0.0
AutoDefense,post,18,prompt_analyzer,api,1173,112,0,0,0.0
AutoDefense,post,18,judge,api,1329,245,0,0,0.0
AutoDefense,post,22,victim,api,48,189,0,0,0.0
AutoDefense,post,22,intention_analyzer,api,669,209,0,0,0.0
AutoDefense,post,22,prompt_analyzer,api,840,121,0,0,0.0
AutoDefense,post,22,judge,api,1005,213,0,0,0.0
AutoDefense,post,26,victim,api,51,483,0,0,0.0
AutoDefense,post,26,intention_analyzer,api,963,244,0,0,0.0
AutoDefense,post,26,prompt_analyzer,api,1169,114,0,0,0.0
AutoDefense,post,26,judge,api,1327,270,0,0,0.0
AutoDefense,post,30,victim,api,51,460,0,0,0.0
AutoDefense,post,30,intention_analyzer,api,940,198,0,0,0.0
AutoDefense,post,30,prompt_analyzer,api,1100,123,0,0,0.0
AutoDefense,post,30,judge,api,1267,280,0,0,0.0
AutoDefense,post,31,victim,api,51,512,0,0,0.0
AutoDefense,post,31,intention_analyzer,api,994,217,0,0,0.0
AutoDefense,post,31,prompt_analyzer,api,1173,138,0,0,0.0
AutoDefense,post,31,judge,api,1355,264,0,0,0.0
AutoDefense,post,33,victim,api,46,509,0,0,0.0
AutoDefense,post,33,intention_analyzer,api,989,209,0,0,0.0
AutoDefense,post,33,prompt_analyzer,api,1160,119,0,0,0.0
AutoDefense,post,33,judge,api,1323,243,0,0,0.0
AutoDefense,post,39,victim,api,51,512,0,0,0.0
AutoDefense,post,39,intention_analyzer,api,994,248,0,0,0.0
AutoDefense,post,39,prompt_analyzer,api,1204,137,0,0,0.0
AutoDefense,post,39,judge,api,1385,268,0,0,0.0
AutoDefense,post,42,victim,api,51,512,0,0,0.0
AutoDefense,post,42,intention_analyzer,api,994,314,0,0,0.0
AutoDefense,post,42,prompt_analyzer,api,1270,137,0,0,0.0
AutoDefense,post,42,judge,api,1451,288,0,0,0.0
AutoDefense,post,44,victim,api,55,512,0,0,0.0
AutoDefense,post,44,intention_analyzer,api,994,242,0,0,0.0
AutoDefense,post,44,prompt_analyzer,api,1198,115,0,0,0.0
AutoDefense,post,44,judge,api,1357,296,0,0,0.0
AutoDefense,post,45,victim,api,52,288,0,0,0.0
AutoDefense,post,45,intention_analyzer,api,768,237,0,0,0.0
AutoDefense,post,45,prompt_analyzer,api,967,103,0,0,0.0
AutoDefense,post,45,judge,api,1114,259,0,0,0.0
AutoDefense,post,55,victim,api,57,512,0,0,0.0
AutoDefense,post,55,intention_analyzer,api,994,188,0,0,0.0
AutoDefense,post,55,prompt_analyzer,api,1144,121,0,0,0.0
AutoDefense,post,55,judge,api,1309,307,0,0,0.0
AutoDefense,post,66,victim,api,55,473,0,0,0.0
AutoDefense,post,66,intention_analyzer,api,953,204,0,0,0.0
AutoDefense,post,66,prompt_analyzer,api,1119,141,0,0,0.0
AutoDefense,post,66,judge,api,1304,254,0,0,0.0
AutoDefense,post,67,victim,api,54,512,0,0,0.0
AutoDefense,post,67,intention_analyzer,api,994,292,0,0,0.0
AutoDefense,post,67,prompt_analyzer,api,1248,111,0,0,0.0
AutoDefense,post,67,judge,api,1403,257,0,0,0.0
AutoDefense,post,70,victim,api,65,470,0,0,0.0
AutoDefense,post,70,intention_analyzer,api,950,218,0,0,0.0
AutoDefense,post,70,prompt_analyzer,api,1130,125,0,0,0.0
AutoDefense,post,70,judge,api,1299,231,0,0,0.0
AutoDefense,post,76,victim,api,60,512,0,0,0.0
AutoDefense,post,76,intention_analyzer,api,994,224,0,0,0.0
AutoDefense,post,76,prompt_analyzer,api,1180,101,0,0,0.0
AutoDefense,post,76,judge,api,1325,224,0,0,0.0
AutoDefense,post,77,victim,api,51,230,0,0,0.0
AutoDefense,post,77,intention_analyzer,api,710,301,0,0,0.0
AutoDefense,post,77,prompt_analyzer,api,973,93,0,0,0.0
AutoDefense,post,77,judge,api,1110,316,0,0,0.0
AutoDefense,post,78,victim,api,64,512,0,0,0.0
AutoDefense,post,78,intention_analyzer,api,994,225,0,0,0.0
AutoDefense,post,78,prompt_analyzer,api,1181,123,0,0,0.0
AutoDefense,post,78,judge,api,1348,244,0,0,0.0
AutoDefense,post,84,victim,api,52,296,0,0,0.0
AutoDefense,post,84,intention_analyzer,api,776,282,0,0,0.0
AutoDefense,post,84,prompt_analyzer,api,1020,90,0,0,0.0
AutoDefense,post,84,judge,api,1154,298,0,0,0.0
AutoDefense,post,89,victim,api,67,512,0,0,0.0
AutoDefense,post,89,intention_analyzer,api,994,223,0,0,0.0
AutoDefense,post,89,prompt_analyzer,api,1179,141,0,0,0.0
AutoDefense,post,89,judge,api,1364,234,0,0,0.0
AutoDefense,post,93,victim,api,55,512,0,0,0.0
AutoDefense,post,93,intention_analyzer,api,994,270,0,0,0.0
AutoDefense,post,93,prompt_analyzer,api,1226,120,0,0,0.0
AutoDefense,post,93,judge,api,1390,298,0,0,0.0
AutoDefense,post,97,victim,api,49,492,0,0,0.0
AutoDefense,post,97,intention_analyzer,api,972,257,0,0,0.0
AutoDefense,post,97,prompt_analyzer,api,1191,112,0,0,0.0
AutoDefense,post,97,judge,api,1347,238,0,0,0.0
AutoDefense,post,101,victim,api,56,376,0,0,0.0
AutoDefense,post,101,intention_analyzer,api,856,246,0,0,0.0
AutoDefense,post,101,prompt_analyzer,api,1064,124,0,0,0.0
AutoDefense,post,101,judge,api,1232,241,0,0,0.0
AutoDefense,post,105,victim,api,62,512,0,0,0.0
AutoDefense,post,105,intention_analyzer,api,993,249,0,0,0.0
AutoDefense,post,105,prompt_analyzer,api,1204,119,0,0,0.0
AutoDefense,post,105,judge,api,1367,272,0,0,0.0
AutoDefense,post,106,victim,api,52,512,0,0,0.0
AutoDefense,post,106,intention_analyzer,api,993,242,0,0,0.0
AutoDefense,post,106,prompt_analyzer,api,1197,123,0,0,0.0
AutoDefense,post,106,judge,api,1364,269,0,0,0.0
AutoDefense,post,110,victim,api,59,512,0,0,0.0
AutoDefense,post,110,intention_analyzer,api,994,224,0,0,0.0
AutoDefense,post,110,prompt_analyzer,api,1180,79,0,0,0.0
AutoDefense,post,110,judge,api,1303,352,0,0,0.0
AutoDefense,post,111,victim,api,49,169,0,0,0.0
AutoDefense,post,111,intention_analyzer,api,649,208,0,0,0.0
AutoDefense,post,111,prompt_analyzer,api,819,112,0,0,0.0
AutoDefense,post,111,judge,api,975,271,0,0,0.0
AutoDefense,post,113,victim,api,61,512,0,0,0.0
AutoDefense,post,113,intention_analyzer,api,994,231,0,0,0.0
AutoDefense,post,113,prompt_analyzer,api,1187,110,0,0,0.0
AutoDefense,post,113,judge,api,1341,167,0,0,0.0
AutoDefense,post,119,victim,api,57,512,0,0,0.0
AutoDefense,post,119,intention_analyzer,api,994,272,0,0,0.0
AutoDefense,post,119,prompt_analyzer,api,1228,115,0,0,0.0
AutoDefense,post,119,judge,api,1387,267,0,0,0.0
AutoDefense,post,129,victim,api,58,459,0,0,0.0
AutoDefense,post,129,intention_analyzer,api,939,217,0,0,0.0
AutoDefense,post,129,prompt_analyzer,api,1118,126,0,0,0.0
AutoDefense,post,129,judge,api,1288,236,0,0,0.0
AutoDefense,post,134,victim,api,55,31,0,0,0.0
AutoDefense,post,134,intention_analyzer,api,511,158,0,0,0.0
AutoDefense,post,134,prompt_analyzer,api,631,89,0,0,0.0
AutoDefense,post,134,judge,api,764,205,0,0,0.0
AutoDefense,post,135,victim,api,51,269,0,0,0.0
AutoDefense,post,135,intention_analyzer,api,749,223,0,0,0.0
AutoDefense,post,135,prompt_analyzer,api,934,137,0,0,0.0
AutoDefense,post,135,judge,api,1115,275,0,0,0.0
AutoDefense,post,136,victim,api,53,512,0,0,0.0
AutoDefense,post,136,intention_analyzer,api,994,290,0,0,0.0
AutoDefense,post,136,prompt_analyzer,api,1246,137,0,0,0.0
AutoDefense,post,136,judge,api,1427,241,0,0,0.0
AutoDefense,post,146,victim,api,65,512,0,0,0.0
AutoDefense,post,146,intention_analyzer,api,993,286,0,0,0.0
AutoDefense,post,146,prompt_analyzer,api,1241,116,0,0,0.0
AutoDefense,post,146,judge,api,1401,286,0,0,0.0
AutoDefense,post,148,victim,api,53,512,0,0,0.0
AutoDefense,post,148,intention_analyzer,api,994,247,0,0,0.0
AutoDefense,post,148,prompt_analyzer,api,1203,117,0,0,0.0
AutoDefense,post,148,judge,api,1364,268,0,0,0.0
AutoDefense,post,151,victim,api,170,91,0,0,0.0
AutoDefense,post,151,intention_analyzer,api,571,208,0,0,0.0
AutoDefense,post,151,prompt_analyzer,api,741,96,0,0,0.0
AutoDefense,post,151,judge,api,881,243,0,0,0.0
AutoDefense,post,154,victim,api,53,512,0,0,0.0
AutoDefense,post,154,intention_analyzer,api,994,238,0,0,0.0
AutoDefense,post,154,prompt_analyzer,api,1194,128,0,0,0.0
AutoDefense,post,154,judge,api,1366,263,0,0,0.0
AutoDefense,post,159,victim,api,52,25,0,0,0.0
AutoDefense,post,159,intention_analyzer,api,505,156,0,0,0.0
AutoDefense,post,159,prompt_analyzer,api,623,84,0,0,0.0
AutoDefense,post,159,judge,api,751,198,0,0,0.0
AutoDefense,post,166,victim,api,57,512,0,0,0.0
AutoDefense,post,166,intention_analyzer,api,993,432,0,0,0.0
AutoDefense,post,166,prompt_analyzer,api,1387,217,0,0,0.0
AutoDefense,post,166,judge,api,1648,340,0,0,0.0
AutoDefense,post,168,victim,api,52,512,0,0,0.0
AutoDefense,post,168,intention_analyzer,api,994,216,0,0,0.0
AutoDefense,post,168,prompt_analyzer,api,1172,119,0,0,0.0
AutoDefense,post,168,judge,api,1335,290,0,0,0.0
AutoDefense,post,171,victim,api,72,512,0,0,0.0
AutoDefense,post,171,intention_analyzer,api,994,274,0,0,0.0
AutoDefense,post,171,prompt_analyzer,api,1230,156,0,0,0.0
AutoDefense,post,171,judge,api,1430,234,0,0,0.0
AutoDefense,post,177,victim,api,51,422,0,0,0.0
AutoDefense,post,177,intention_analyzer,api,902,242,0,0,0.0
AutoDefense,post,177,prompt_analyzer,api,1106,106,0,0,0.0
AutoDefense,post,177,judge,api,1256,262,0,0,0.0
AutoDefense,post,181,victim,api,56,492,0,0,0.0
AutoDefense,post,181,intention_analyzer,api,972,271,0,0,0.0
AutoDefense,post,181,prompt_analyzer,api,1205,191,0,0,0.0
AutoDefense,post,181,judge,api,1440,310,0,0,0.0
AutoDefense,post,187,victim,api,66,512,0,0,0.0
AutoDefense,post,187,intention_analyzer,api,994,223,0,0,0.0
AutoDefense,post,187,prompt_analyzer,api,1179,97,0,0,0.0
AutoDefense,post,187,judge,api,1320,270,0,0,0.0
AutoDefense,post,189,victim,api,65,426,0,0,0.0
AutoDefense,post,189,intention_analyzer,api,906,274,0,0,0.0
AutoDefense,post,189,prompt_analyzer,api,1142,115,0,0,0.0
AutoDefense,post,189,judge,api,1301,253,0,0,0.0
AutoDefense,post,195,victim,api,53,376,0,0,0.0
AutoDefense,post,195,intention_analyzer,api,856,207,0,0,0.0
AutoDefense,post,195,prompt_analyzer,api,1025,105,0,0,0.0
AutoDefense,post,195,judge,api,1174,213,0,0,0.0
AutoDefense,post,199,victim,api,51,81,0,0,0.0
AutoDefense,post,199,intention_analyzer,api,561,152,0,0,0.0
AutoDefense,post,199,prompt_analyzer,api,675,91,0,0,0.0
AutoDefense,post,199,judge,api,810,142,0,0,0.0
AutoDefense,post,203,victim,api,50,80,0,0,0.0
AutoDefense,post,203,intention_analyzer,api,560,272,0,0,0.0
AutoDefense,post,203,prompt_analyzer,api,794,107,0,0,0.0
AutoDefense,post,203,judge,api,945,261,0,0,0.0
AutoDefense,post,207,victim,api,51,147,0,0,0.0
AutoDefense,post,207,intention_analyzer,api,627,248,0,0,0.0
AutoDefense,post,207,prompt_analyzer,api,837,134,0,0,0.0
AutoDefense,post,207,judge,api,1015,300,0,0,0.0
AutoDefense,post,208,victim,api,47,41,0,0,0.0
AutoDefense,post,208,intention_analyzer,api,521,161,0,0,0.0
AutoDefense,post,208,prompt_analyzer,api,644,95,0,0,0.0
AutoDefense,post,208,judge,api,783,203,0,0,0.0
AutoDefense,post,210,victim,api,57,440,0,0,0.0
AutoDefense,post,210,intention_analyzer,api,920,223,0,0,0.0
AutoDefense,post,210,prompt_analyzer,api,1105,103,0,0,0.0
AutoDefense,post,210,judge,api,1252,291,0,0,0.0
