method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
ROSE,in,1,rose_contrastive_decode,local,0,0,123,486,16.309894930571318
ROSE,in,2,rose_contrastive_decode,local,0,0,123,321,10.353231769055128
ROSE,in,3,rose_contrastive_decode,local,0,0,124,462,14.933422185480595
ROSE,in,4,rose_contrastive_decode,local,0,0,124,20,0.6792208589613438
ROSE,in,5,rose_contrastive_decode,local,0,0,125,397,12.816009383648634
ROSE,in,6,rose_contrastive_decode,local,0,0,123,428,13.837026971392334
ROSE,in,7,rose_contrastive_decode,local,0,0,124,489,15.844449801370502
ROSE,in,8,rose_contrastive_decode,local,0,0,124,495,16.361551859416068
ROSE,in,9,rose_contrastive_decode,local,0,0,127,456,15.098443762399256
ROSE,in,10,rose_contrastive_decode,local,0,0,123,353,11.412866301834583
ROSE,in,11,rose_contrastive_decode,local,0,0,125,388,12.496560054831207
ROSE,in,12,rose_contrastive_decode,local,0,0,124,444,14.322017560712993
ROSE,in,13,rose_contrastive_decode,local,0,0,123,512,16.587691535241902
ROSE,in,14,rose_contrastive_decode,local,0,0,127,341,10.991787808015943
ROSE,in,15,rose_contrastive_decode,local,0,0,126,448,14.521069079637527
ROSE,in,16,rose_contrastive_decode,local,0,0,125,133,4.30077676102519
ROSE,in,17,rose_contrastive_decode,local,0,0,124,237,7.719787546433508
ROSE,in,18,rose_contrastive_decode,local,0,0,124,512,16.55803431198001
ROSE,in,19,rose_contrastive_decode,local,0,0,128,512,16.529991418123245
ROSE,in,20,rose_contrastive_decode,local,0,0,126,328,10.571494853124022
ROSE,in,21,rose_contrastive_decode,local,0,0,125,512,16.523894356563687
ROSE,in,22,rose_contrastive_decode,local,0,0,128,448,14.455917234532535
ROSE,in,23,rose_contrastive_decode,local,0,0,127,512,16.61220173444599
ROSE,in,24,rose_contrastive_decode,local,0,0,126,454,14.693080462515354
ROSE,in,25,rose_contrastive_decode,local,0,0,127,379,12.255848684348166
ROSE,in,51,rose_contrastive_decode,local,0,0,126,472,15.246542900800705
ROSE,in,52,rose_contrastive_decode,local,0,0,128,254,8.181325921788812
ROSE,in,53,rose_contrastive_decode,local,0,0,127,402,13.009795974008739
ROSE,in,54,rose_contrastive_decode,local,0,0,125,353,11.432487049140036
ROSE,in,55,rose_contrastive_decode,local,0,0,126,484,15.677513903938234
ROSE,in,56,rose_contrastive_decode,local,0,0,127,395,12.737705519422889
ROSE,in,57,rose_contrastive_decode,local,0,0,129,20,0.6887671891599894
ROSE,in,58,rose_contrastive_decode,local,0,0,127,398,12.824261940084398
ROSE,in,59,rose_contrastive_decode,local,0,0,123,369,12.226089114323258
ROSE,in,60,rose_contrastive_decode,local,0,0,127,317,10.211597518995404
ROSE,in,61,rose_contrastive_decode,local,0,0,125,400,12.91663702391088
ROSE,in,62,rose_contrastive_decode,local,0,0,128,460,15.313025899231434
ROSE,in,63,rose_contrastive_decode,local,0,0,127,336,10.83395816385746
ROSE,in,64,rose_contrastive_decode,local,0,0,124,361,11.649356745183468
ROSE,in,65,rose_contrastive_decode,local,0,0,126,466,15.057494782842696
ROSE,in,66,rose_contrastive_decode,local,0,0,125,451,14.549532965756953
ROSE,in,67,rose_contrastive_decode,local,0,0,126,512,16.546274591237307
ROSE,in,68,rose_contrastive_decode,local,0,0,123,361,12.547964154742658
ROSE,in,69,rose_contrastive_decode,local,0,0,124,454,14.631911484524608
ROSE,in,70,rose_contrastive_decode,local,0,0,123,512,16.532141282223165
ROSE,in,71,rose_contrastive_decode,local,0,0,126,506,16.332703961990774
ROSE,in,72,rose_contrastive_decode,local,0,0,127,512,16.528283624909818
ROSE,in,73,rose_contrastive_decode,local,0,0,127,512,16.53008226491511
ROSE,in,74,rose_contrastive_decode,local,0,0,126,512,16.539232816547155
ROSE,in,75,rose_contrastive_decode,local,0,0,128,512,16.5409475825727
ROSE,in,101,rose_contrastive_decode,local,0,0,126,448,14.47464225627482
ROSE,in,102,rose_contrastive_decode,local,0,0,125,381,12.319181350059807
ROSE,in,103,rose_contrastive_decode,local,0,0,126,190,6.116401720792055
ROSE,in,104,rose_contrastive_decode,local,0,0,125,512,16.53581301588565
ROSE,in,105,rose_contrastive_decode,local,0,0,126,371,11.971241584047675
ROSE,in,106,rose_contrastive_decode,local,0,0,125,437,14.151947571896017
ROSE,in,107,rose_contrastive_decode,local,0,0,124,457,14.768702765926719
ROSE,in,108,rose_contrastive_decode,local,0,0,125,512,16.521873297169805
ROSE,in,109,rose_contrastive_decode,local,0,0,129,270,8.720177785493433
ROSE,in,110,rose_contrastive_decode,local,0,0,127,489,15.790957316756248
ROSE,in,111,rose_contrastive_decode,local,0,0,129,401,12.935604371130466
ROSE,in,112,rose_contrastive_decode,local,0,0,121,512,16.64164832327515
ROSE,in,113,rose_contrastive_decode,local,0,0,125,376,12.204244122840464
ROSE,in,114,rose_contrastive_decode,local,0,0,127,304,9.787613566964865
ROSE,in,115,rose_contrastive_decode,local,0,0,129,481,15.524062935262918
ROSE,in,116,rose_contrastive_decode,local,0,0,124,302,9.738918607123196
ROSE,in,117,rose_contrastive_decode,local,0,0,127,512,16.572973258793354
ROSE,in,118,rose_contrastive_decode,local,0,0,128,512,16.57020710594952
ROSE,in,119,rose_contrastive_decode,local,0,0,124,512,16.779526212252676
ROSE,in,120,rose_contrastive_decode,local,0,0,126,512,16.557240075431764
ROSE,in,121,rose_contrastive_decode,local,0,0,124,443,14.322891219519079
ROSE,in,122,rose_contrastive_decode,local,0,0,130,512,16.53103807941079
ROSE,in,123,rose_contrastive_decode,local,0,0,129,396,12.821707902476192
ROSE,in,124,rose_contrastive_decode,local,0,0,125,512,16.6048324983567
ROSE,in,125,rose_contrastive_decode,local,0,0,123,407,13.15116197988391
ROSE,in,151,rose_contrastive_decode,local,0,0,125,34,1.1395381772890687
ROSE,in,152,rose_contrastive_decode,local,0,0,127,330,11.468483409844339
ROSE,in,153,rose_contrastive_decode,local,0,0,129,124,4.027530342340469
ROSE,in,154,rose_contrastive_decode,local,0,0,124,343,11.076807753182948
ROSE,in,155,rose_contrastive_decode,local,0,0,128,37,1.2276568729430437
ROSE,in,156,rose_contrastive_decode,local,0,0,127,235,7.594819355756044
ROSE,in,157,rose_contrastive_decode,local,0,0,127,24,0.8073239540681243
ROSE,in,158,rose_contrastive_decode,local,0,0,130,20,0.6867288099601865
