id,prompt,source_id,dataset,category
0,What are the names of some famous actors that started their careers on Broadway?,alpaca_eval-0,helpful_base,regular
1,How did US states get their names?,alpaca_eval-1,helpful_base,regular
2,"Hi, my sister and her girlfriends want me to play kickball with them. Can you explain how the game is played, so they don't take advantage of me?",alpaca_eval-2,helpful_base,regular
3,What is some cool music from the 1920s?,alpaca_eval-3,helpful_base,regular
4,How do I wrap a present neatly?,alpaca_eval-4,helpful_base,regular
5,How do I dice without slicing my finger,alpaca_eval-5,helpful_base,regular
6,"Hi, I'm trying to solve a crossword puzzle, but I've never done one of these before. Can you help me out?",alpaca_eval-6,helpful_base,regular
7,Who is Larry Page?,alpaca_eval-7,helpful_base,regular
8,What are different drawers I should have for clothes?,alpaca_eval-8,helpful_base,regular
9,do you think retinoid is effective on removing the acne? because I have a lot of it,alpaca_eval-10,helpful_base,regular
10,I'm trying to teach myself to have nicer handwriting. Can you help?,alpaca_eval-11,helpful_base,regular
11,What are the best exercises for beginners?,alpaca_eval-13,helpful_base,regular
12,Do you know why turkeys became the official food of thanksgiving?,alpaca_eval-14,helpful_base,regular
13,I want to get better at networking at work,alpaca_eval-15,helpful_base,regular
14,Are there any weird Christmas traditions?,alpaca_eval-16,helpful_base,regular
15,"Hi, I'm interested in learning to play badminton. Can you explain the game to me?",alpaca_eval-17,helpful_base,regular
16,Do you know why cats always rub up against your legs?,alpaca_eval-18,helpful_base,regular
17,I am going to try to roast a pig at home for Thanksgiving this year. What equipment and techniques do I need to successfully get a pig roasted?,alpaca_eval-19,helpful_base,regular
18,Help me find a good rated electric saw.,alpaca_eval-20,helpful_base,regular
19,What are some artists I might like if I like Billy Joel?,alpaca_eval-21,helpful_base,regular
20,What type of soil is suitable for cactus?,alpaca_eval-22,helpful_base,regular
21,How do you become an author?,alpaca_eval-23,helpful_base,regular
22,What breed dog is smallest?,alpaca_eval-24,helpful_base,regular
23,What are some species of bears that are now extinct?,alpaca_eval-25,helpful_base,regular
24,What causes the northern lights?,alpaca_eval-26,helpful_base,regular
25,What are some good foods to eat when you are sick? I am looking for something to make my girlfriend to eat.,alpaca_eval-27,helpful_base,regular
26,Why is kobe beef so damn expensive?,alpaca_eval-28,helpful_base,regular
27,How do I clean my armpits?,alpaca_eval-29,helpful_base,regular
28,How do I detail a car?,alpaca_eval-30,helpful_base,regular
29,I am going to make pumpkin pie for the first time.  Can you help me?,alpaca_eval-31,helpful_base,regular
30,What kind of foods do they eat in Thailand,alpaca_eval-32,helpful_base,regular
31,What are some good browser alternatives to Chrome?,alpaca_eval-33,helpful_base,regular
32,Who created the Superman cartoon character?,alpaca_eval-34,helpful_base,regular
33,What is Atlantis?,alpaca_eval-35,helpful_base,regular
34,How do I make escargot?,alpaca_eval-36,helpful_base,regular
35,What exactly causes volcanoes to form?,alpaca_eval-37,helpful_base,regular
36,"Hi, I have some falafel, but no tahini to put on them. Can you give me a recipe for making tahini?",alpaca_eval-38,helpful_base,regular
37,Should I get my children a nanny? I'm so exhausted.,alpaca_eval-39,helpful_base,regular
38,When was Canada colonized?,alpaca_eval-40,helpful_base,regular
39,How can I  use my phone less?,alpaca_eval-41,helpful_base,regular
40,"How did mankind discover that the earth was spherical, and why did they initially believe it to be flat?",alpaca_eval-42,helpful_base,regular
41,What is Gremolata?,alpaca_eval-43,helpful_base,regular
42,Why did humans evolve to believe in God?,alpaca_eval-44,helpful_base,regular
43,what should i build a cabin out of?,alpaca_eval-45,helpful_base,regular
44,Why do a lot of Scientists not believe in God or Satan?,alpaca_eval-46,helpful_base,regular
45,Why can I see the moon during the day?,alpaca_eval-48,helpful_base,regular
46,How do I take care of a wooden table?,alpaca_eval-49,helpful_base,regular
47,What year was the Yamato Battleship built?,alpaca_eval-50,helpful_base,regular
48,Did they ever announce the release date for the new elder scrolls game?,alpaca_eval-51,helpful_base,regular
49,Please tell me about the romantic relationship between Julius Caesar and Cleopatra.,alpaca_eval-53,helpful_base,regular
50,"Hi, I'm in the mood for a Bloody Mary. Can you give me a recipe for making one?",alpaca_eval-54,helpful_base,regular
51,What are some famous world music artists?,alpaca_eval-55,helpful_base,regular
52,what are some good ways to spread ashes?,alpaca_eval-56,helpful_base,regular
53,"I've read the book ""The Twelve Caesars"" by Suetonius, a few times. I'm curious about the context, of when he wrote.",alpaca_eval-59,helpful_base,regular
54,Please tell me the history of Walt Disney.,alpaca_eval-60,helpful_base,regular
55,Can you help me figure out how to sew a button on a shirt?,alpaca_eval-61,helpful_base,regular
56,How did serial killers get away with murder for so long in the 70s and 80s?,alpaca_eval-62,helpful_base,regular
57,How do I make apple juice?,alpaca_eval-63,helpful_base,regular
58,How can I make bubble solution?,alpaca_eval-65,helpful_base,regular
59,How to make frosting with crisco,alpaca_eval-66,helpful_base,regular
60,I want to learn more about airplanes. How were they created?,alpaca_eval-68,helpful_base,regular
61,Can you tell me a very easy to way clean a showerhead?,alpaca_eval-69,helpful_base,regular
62,Please give me a list of planets in our solar system.  I am going to choose which one I want to know more.,alpaca_eval-70,helpful_base,regular
63,Who was the first lead vocal for the rock band Starship?,alpaca_eval-71,helpful_base,regular
64,I need to get my nephew a birthday gift. I'm thinking of giving him a game for his Nintendo Switch. Can you give me a few options that came out recently?,alpaca_eval-72,helpful_base,regular
65,Best way to defrost a refrigerator freezer?,alpaca_eval-73,helpful_base,regular
66,What are some toys I can buy my kids for imaginative play?,alpaca_eval-74,helpful_base,regular
67,How do I know if my house has a water leak?,alpaca_eval-75,helpful_base,regular
68,What do the different octane values of gasoline mean?,alpaca_eval-78,helpful_base,regular
69,How can I fix a leaking roof?,alpaca_eval-79,helpful_base,regular
70,I have a hard time falling asleep.  Is there any type of music that can help me fall asleep faster?,alpaca_eval-80,helpful_base,regular
71,"What are places to visit in Montgomery, Alabama?",alpaca_eval-81,helpful_base,regular
72,"Hi, I've decided to keep a rat as a pet. How do I house, feed, and otherwise care for it?",alpaca_eval-82,helpful_base,regular
73,How do you get water in the desert?,alpaca_eval-83,helpful_base,regular
74,How do I get better at aiming with my slingshot?,alpaca_eval-84,helpful_base,regular
75,"I have my grandfather's antique fountain pen and a bottle of ink, but have never done this before. Can you tell me how to refill the fountain pen?",alpaca_eval-86,helpful_base,regular
76,"Hi, I'd like to play ice hockey. Can you explain how the game works?",alpaca_eval-87,helpful_base,regular
77,What is kevlar made out of?,alpaca_eval-88,helpful_base,regular
78,"Hi, I'd like to learn how to play racquetball. Can you explain the game to me?",alpaca_eval-89,helpful_base,regular
79,What are some  good books to buy for a sci fi fan?,alpaca_eval-90,helpful_base,regular
80,When were smart phones first made?,alpaca_eval-91,helpful_base,regular
81,Did Facebook corporation change its name?,alpaca_eval-93,helpful_base,regular
82,I want to start saving some money by growing my own food. Can I do this during the winter with an indoor garden?,alpaca_eval-95,helpful_base,regular
83,How can I spice things up in the bedroom?,alpaca_eval-96,helpful_base,regular
84,Is human blood ever any color other than red?,alpaca_eval-97,helpful_base,regular
85,Please tell me about pearls.  Where are they found?,alpaca_eval-98,helpful_base,regular
86,What are some herbs I can dry out?,alpaca_eval-99,helpful_base,regular
87,What is a scary Halloween costume idea?,alpaca_eval-101,helpful_base,regular
88,Whats the largest star in our galaxy?,alpaca_eval-102,helpful_base,regular
89,I'm trying to draw out a hopscotch game on my driveway. Can you walk me through how to do that?,alpaca_eval-103,helpful_base,regular
90,I'm trying to learn how to install window blinds.,alpaca_eval-107,helpful_base,regular
91,I want to learn more about becoming a CPA. How long does it take to become a CPA?,alpaca_eval-108,helpful_base,regular
92,"I want to talk about ""Smooth"",  a song by Rob Thomas.",alpaca_eval-109,helpful_base,regular
93,Is it true that the native Australians were really prisoners of England?,alpaca_eval-112,helpful_base,regular
94,What color is the sky,alpaca_eval-113,helpful_base,regular
95,what are some big cat hybrids?,alpaca_eval-119,helpful_base,regular
96,Has there been any news regarding a potential release date for Starcraft 3?,alpaca_eval-122,helpful_base,regular
97,How is oil turned into gasoline?,alpaca_eval-123,helpful_base,regular
98,When was hip hop invented?,alpaca_eval-125,helpful_base,regular
