method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
Backtranslation,post,0,target,api,50,450,0,0,0.0
Backtranslation,post,0,backtranslate,api,547,18,0,0,0.0
Backtranslation,post,0,recheck,api,48,501,0,0,0.0
Backtranslation,post,4,target,api,43,512,0,0,0.0
Backtranslation,post,4,backtranslate,api,610,19,0,0,0.0
Backtranslation,post,4,recheck,api,49,512,0,0,0.0
Backtranslation,post,10,target,api,50,512,0,0,0.0
Backtranslation,post,10,backtranslate,api,610,10,0,0,0.0
Backtranslation,post,10,recheck,api,40,512,0,0,0.0
Backtranslation,post,12,target,api,49,342,0,0,0.0
Backtranslation,post,12,backtranslate,api,439,23,0,0,0.0
Backtranslation,post,12,recheck,api,53,424,0,0,0.0
Backtranslation,post,18,target,api,44,512,0,0,0.0
Backtranslation,post,18,backtranslate,api,610,12,0,0,0.0
Backtranslation,post,18,recheck,api,42,512,0,0,0.0
Backtranslation,post,22,target,api,41,67,0,0,0.0
Backtranslation,post,22,backtranslate,api,164,17,0,0,0.0
Backtranslation,post,22,recheck,api,47,512,0,0,0.0
Backtranslation,post,26,target,api,44,471,0,0,0.0
Backtranslation,post,26,backtranslate,api,568,18,0,0,0.0
Backtranslation,post,26,recheck,api,48,512,0,0,0.0
Backtranslation,post,30,target,api,44,510,0,0,0.0
Backtranslation,post,30,backtranslate,api,607,15,0,0,0.0
Backtranslation,post,30,recheck,api,45,512,0,0,0.0
Backtranslation,post,31,target,api,44,441,0,0,0.0
Backtranslation,post,31,backtranslate,api,538,12,0,0,0.0
Backtranslation,post,31,recheck,api,42,306,0,0,0.0
Backtranslation,post,33,target,api,39,506,0,0,0.0
Backtranslation,post,33,backtranslate,api,603,13,0,0,0.0
Backtranslation,post,33,recheck,api,43,512,0,0,0.0
Backtranslation,post,39,target,api,44,512,0,0,0.0
Backtranslation,post,39,backtranslate,api,610,15,0,0,0.0
Backtranslation,post,39,recheck,api,46,512,0,0,0.0
Backtranslation,post,42,target,api,44,512,0,0,0.0
Backtranslation,post,42,backtranslate,api,610,19,0,0,0.0
Backtranslation,post,42,recheck,api,49,512,0,0,0.0
Backtranslation,post,44,target,api,48,512,0,0,0.0
Backtranslation,post,44,backtranslate,api,610,18,0,0,0.0
Backtranslation,post,44,recheck,api,48,512,0,0,0.0
Backtranslation,post,45,target,api,45,292,0,0,0.0
Backtranslation,post,45,backtranslate,api,389,16,0,0,0.0
Backtranslation,post,45,recheck,api,46,405,0,0,0.0
Backtranslation,post,55,target,api,50,512,0,0,0.0
Backtranslation,post,55,backtranslate,api,610,21,0,0,0.0
Backtranslation,post,55,recheck,api,51,512,0,0,0.0
Backtranslation,post,66,target,api,48,466,0,0,0.0
Backtranslation,post,66,backtranslate,api,563,17,0,0,0.0
Backtranslation,post,66,recheck,api,47,512,0,0,0.0
Backtranslation,post,67,target,api,47,512,0,0,0.0
Backtranslation,post,67,backtranslate,api,610,20,0,0,0.0
Backtranslation,post,67,recheck,api,50,512,0,0,0.0
Backtranslation,post,70,target,api,58,454,0,0,0.0
Backtranslation,post,70,backtranslate,api,551,17,0,0,0.0
Backtranslation,post,70,recheck,api,47,506,0,0,0.0
Backtranslation,post,76,target,api,53,512,0,0,0.0
Backtranslation,post,76,backtranslate,api,610,13,0,0,0.0
Backtranslation,post,76,recheck,api,43,512,0,0,0.0
Backtranslation,post,77,target,api,44,272,0,0,0.0
Backtranslation,post,77,backtranslate,api,369,17,0,0,0.0
Backtranslation,post,77,recheck,api,47,512,0,0,0.0
Backtranslation,post,78,target,api,57,512,0,0,0.0
Backtranslation,post,78,backtranslate,api,610,16,0,0,0.0
Backtranslation,post,78,recheck,api,46,512,0,0,0.0
Backtranslation,post,84,target,api,45,356,0,0,0.0
Backtranslation,post,84,backtranslate,api,453,22,0,0,0.0
Backtranslation,post,84,recheck,api,52,512,0,0,0.0
Backtranslation,post,89,target,api,60,512,0,0,0.0
Backtranslation,post,89,backtranslate,api,610,19,0,0,0.0
Backtranslation,post,89,recheck,api,49,512,0,0,0.0
Backtranslation,post,93,target,api,48,379,0,0,0.0
Backtranslation,post,93,backtranslate,api,476,17,0,0,0.0
Backtranslation,post,93,recheck,api,47,512,0,0,0.0
Backtranslation,post,97,target,api,42,512,0,0,0.0
Backtranslation,post,97,backtranslate,api,610,15,0,0,0.0
Backtranslation,post,97,recheck,api,45,512,0,0,0.0
Backtranslation,post,101,target,api,49,335,0,0,0.0
Backtranslation,post,101,backtranslate,api,432,18,0,0,0.0
Backtranslation,post,101,recheck,api,48,512,0,0,0.0
Backtranslation,post,105,target,api,55,512,0,0,0.0
Backtranslation,post,105,backtranslate,api,610,26,0,0,0.0
Backtranslation,post,105,recheck,api,56,512,0,0,0.0
Backtranslation,post,106,target,api,45,512,0,0,0.0
Backtranslation,post,106,backtranslate,api,610,19,0,0,0.0
Backtranslation,post,106,recheck,api,49,512,0,0,0.0
Backtranslation,post,110,target,api,52,512,0,0,0.0
Backtranslation,post,110,backtranslate,api,610,17,0,0,0.0
Backtranslation,post,110,recheck,api,47,512,0,0,0.0
Backtranslation,post,111,target,api,42,146,0,0,0.0
Backtranslation,post,111,backtranslate,api,243,22,0,0,0.0
Backtranslation,post,111,recheck,api,52,512,0,0,0.0
Backtranslation,post,113,target,api,54,512,0,0,0.0
Backtranslation,post,113,backtranslate,api,610,15,0,0,0.0
Backtranslation,post,113,recheck,api,45,253,0,0,0.0
Backtranslation,post,119,target,api,50,483,0,0,0.0
Backtranslation,post,119,backtranslate,api,579,16,0,0,0.0
Backtranslation,post,119,recheck,api,46,512,0,0,0.0
Backtranslation,post,129,target,api,51,512,0,0,0.0
Backtranslation,post,129,backtranslate,api,609,24,0,0,0.0
Backtranslation,post,129,recheck,api,54,418,0,0,0.0
Backtranslation,post,134,target,api,48,31,0,0,0.0
Backtranslation,post,134,backtranslate,api,128,18,0,0,0.0
Backtranslation,post,134,recheck,api,48,47,0,0,0.0
Backtranslation,post,135,target,api,44,272,0,0,0.0
Backtranslation,post,135,backtranslate,api,369,33,0,0,0.0
Backtranslation,post,135,recheck,api,63,512,0,0,0.0
Backtranslation,post,136,target,api,46,512,0,0,0.0
Backtranslation,post,136,backtranslate,api,610,20,0,0,0.0
Backtranslation,post,136,recheck,api,50,512,0,0,0.0
Backtranslation,post,146,target,api,58,512,0,0,0.0
Backtranslation,post,146,backtranslate,api,609,20,0,0,0.0
Backtranslation,post,146,recheck,api,50,512,0,0,0.0
Backtranslation,post,148,target,api,46,512,0,0,0.0
Backtranslation,post,148,backtranslate,api,610,24,0,0,0.0
Backtranslation,post,148,recheck,api,54,512,0,0,0.0
Backtranslation,post,151,target,api,163,80,0,0,0.0
Backtranslation,post,151,backtranslate,api,177,19,0,0,0.0
Backtranslation,post,151,recheck,api,49,512,0,0,0.0
Backtranslation,post,154,target,api,46,512,0,0,0.0
Backtranslation,post,154,backtranslate,api,610,17,0,0,0.0
Backtranslation,post,154,recheck,api,47,512,0,0,0.0
Backtranslation,post,159,target,api,45,25,0,0,0.0
Backtranslation,post,159,backtranslate,api,122,23,0,0,0.0
Backtranslation,post,159,recheck,api,42,164,0,0,0.0
Backtranslation,post,166,target,api,50,512,0,0,0.0
Backtranslation,post,166,backtranslate,api,609,39,0,0,0.0
Backtranslation,post,166,recheck,api,69,9,0,0,0.0
Backtranslation,post,168,target,api,45,512,0,0,0.0
Backtranslation,post,168,backtranslate,api,610,15,0,0,0.0
Backtranslation,post,168,recheck,api,45,512,0,0,0.0
Backtranslation,post,171,target,api,65,512,0,0,0.0
Backtranslation,post,171,backtranslate,api,609,20,0,0,0.0
Backtranslation,post,171,recheck,api,50,512,0,0,0.0
Backtranslation,post,177,target,api,44,38,0,0,0.0
Backtranslation,post,181,target,api,49,512,0,0,0.0
Backtranslation,post,181,backtranslate,api,610,14,0,0,0.0
Backtranslation,post,181,recheck,api,44,367,0,0,0.0
Backtranslation,post,187,target,api,59,419,0,0,0.0
Backtranslation,post,187,backtranslate,api,516,16,0,0,0.0
Backtranslation,post,187,recheck,api,46,454,0,0,0.0
Backtranslation,post,189,target,api,58,432,0,0,0.0
Backtranslation,post,189,backtranslate,api,529,16,0,0,0.0
Backtranslation,post,189,recheck,api,46,512,0,0,0.0
Backtranslation,post,195,target,api,46,372,0,0,0.0
Backtranslation,post,195,backtranslate,api,469,11,0,0,0.0
Backtranslation,post,195,recheck,api,41,512,0,0,0.0
Backtranslation,post,199,target,api,44,81,0,0,0.0
Backtranslation,post,199,backtranslate,api,178,12,0,0,0.0
Backtranslation,post,199,recheck,api,42,512,0,0,0.0
Backtranslation,post,203,target,api,43,142,0,0,0.0
Backtranslation,post,203,backtranslate,api,239,16,0,0,0.0
Backtranslation,post,203,recheck,api,46,512,0,0,0.0
Backtranslation,post,207,target,api,44,257,0,0,0.0
Backtranslation,post,207,backtranslate,api,354,33,0,0,0.0
Backtranslation,post,207,recheck,api,63,512,0,0,0.0
Backtranslation,post,208,target,api,40,43,0,0,0.0
Backtranslation,post,208,backtranslate,api,140,18,0,0,0.0
Backtranslation,post,208,recheck,api,48,512,0,0,0.0
Backtranslation,post,210,target,api,50,512,0,0,0.0
Backtranslation,post,210,backtranslate,api,610,20,0,0,0.0
Backtranslation,post,210,recheck,api,50,512,0,0,0.0
Backtranslation,post,216,target,api,41,35,0,0,0.0
Backtranslation,post,216,backtranslate,api,132,14,0,0,0.0
Backtranslation,post,216,recheck,api,44,29,0,0,0.0
Backtranslation,post,219,target,api,64,117,0,0,0.0
Backtranslation,post,219,backtranslate,api,214,19,0,0,0.0
Backtranslation,post,219,recheck,api,49,19,0,0,0.0
Backtranslation,post,221,target,api,41,208,0,0,0.0
Backtranslation,post,221,backtranslate,api,305,15,0,0,0.0
Backtranslation,post,221,recheck,api,45,248,0,0,0.0
Backtranslation,post,222,target,api,55,512,0,0,0.0
Backtranslation,post,222,backtranslate,api,610,26,0,0,0.0
Backtranslation,post,222,recheck,api,56,512,0,0,0.0
Backtranslation,post,230,target,api,73,302,0,0,0.0
Backtranslation,post,230,backtranslate,api,398,23,0,0,0.0
Backtranslation,post,230,recheck,api,53,140,0,0,0.0
Backtranslation,post,232,target,api,42,512,0,0,0.0
Backtranslation,post,232,backtranslate,api,610,15,0,0,0.0
Backtranslation,post,232,recheck,api,45,512,0,0,0.0
Backtranslation,post,246,target,api,60,512,0,0,0.0
Backtranslation,post,246,backtranslate,api,610,23,0,0,0.0
Backtranslation,post,246,recheck,api,53,512,0,0,0.0
Backtranslation,post,247,target,api,44,359,0,0,0.0
Backtranslation,post,250,target,api,51,410,0,0,0.0
Backtranslation,post,250,backtranslate,api,507,18,0,0,0.0
Backtranslation,post,250,recheck,api,48,512,0,0,0.0
Backtranslation,post,253,target,api,44,301,0,0,0.0
Backtranslation,post,253,backtranslate,api,398,17,0,0,0.0
Backtranslation,post,253,recheck,api,47,439,0,0,0.0
Backtranslation,post,254,target,api,59,55,0,0,0.0
Backtranslation,post,254,backtranslate,api,152,14,0,0,0.0
Backtranslation,post,254,recheck,api,44,54,0,0,0.0
