method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
ROSE,in,0,rose_contrastive_decode,local,0,0,130,512,17.218932332471013
ROSE,in,4,rose_contrastive_decode,local,0,0,123,495,15.999721753410995
ROSE,in,10,rose_contrastive_decode,local,0,0,130,512,16.533677267841995
ROSE,in,12,rose_contrastive_decode,local,0,0,129,283,9.12736564874649
ROSE,in,18,rose_contrastive_decode,local,0,0,124,512,16.583786077797413
ROSE,in,22,rose_contrastive_decode,local,0,0,121,284,9.143118817359209
ROSE,in,26,rose_contrastive_decode,local,0,0,124,441,14.222582560963929
ROSE,in,30,rose_contrastive_decode,local,0,0,124,411,13.241550323553383
ROSE,in,31,rose_contrastive_decode,local,0,0,124,470,15.168217507191002
ROSE,in,33,rose_contrastive_decode,local,0,0,119,395,12.72096467576921
ROSE,in,39,rose_contrastive_decode,local,0,0,124,502,16.309171671047807
ROSE,in,42,rose_contrastive_decode,local,0,0,124,438,14.764986718073487
ROSE,in,44,rose_contrastive_decode,local,0,0,128,469,15.168208567425609
ROSE,in,45,rose_contrastive_decode,local,0,0,125,333,10.781856745481491
ROSE,in,55,rose_contrastive_decode,local,0,0,130,512,16.531932009384036
ROSE,in,66,rose_contrastive_decode,local,0,0,128,478,15.7772411191836
ROSE,in,67,rose_contrastive_decode,local,0,0,127,474,15.32349319010973
ROSE,in,70,rose_contrastive_decode,local,0,0,138,413,13.400098033249378
ROSE,in,76,rose_contrastive_decode,local,0,0,133,512,16.612794613465667
ROSE,in,77,rose_contrastive_decode,local,0,0,124,298,9.650385775603354
ROSE,in,78,rose_contrastive_decode,local,0,0,137,512,16.587940231896937
ROSE,in,84,rose_contrastive_decode,local,0,0,125,292,9.459484074264765
ROSE,in,89,rose_contrastive_decode,local,0,0,140,512,16.55544641520828
ROSE,in,93,rose_contrastive_decode,local,0,0,128,339,10.936904288828373
ROSE,in,97,rose_contrastive_decode,local,0,0,122,372,12.01239853259176
ROSE,in,101,rose_contrastive_decode,local,0,0,129,368,11.94767075125128
ROSE,in,105,rose_contrastive_decode,local,0,0,135,512,16.592338241636753
ROSE,in,106,rose_contrastive_decode,local,0,0,125,512,16.573174031451344
ROSE,in,110,rose_contrastive_decode,local,0,0,132,512,16.572266910225153
ROSE,in,111,rose_contrastive_decode,local,0,0,122,174,5.600030016154051
ROSE,in,113,rose_contrastive_decode,local,0,0,134,272,8.759507108479738
ROSE,in,119,rose_contrastive_decode,local,0,0,130,420,13.544054999016225
ROSE,in,129,rose_contrastive_decode,local,0,0,131,464,15.011060418561101
ROSE,in,134,rose_contrastive_decode,local,0,0,128,153,4.930680521763861
ROSE,in,135,rose_contrastive_decode,local,0,0,124,355,11.420851653441787
ROSE,in,136,rose_contrastive_decode,local,0,0,126,512,16.613213184289634
ROSE,in,146,rose_contrastive_decode,local,0,0,138,512,16.64836586918682
ROSE,in,148,rose_contrastive_decode,local,0,0,126,512,16.56311268080026
ROSE,in,151,rose_contrastive_decode,local,0,0,243,184,5.983876661397517
ROSE,in,154,rose_contrastive_decode,local,0,0,126,512,16.502318303100765
ROSE,in,159,rose_contrastive_decode,local,0,0,125,101,3.301101190969348
ROSE,in,166,rose_contrastive_decode,local,0,0,130,512,16.91204338800162
ROSE,in,168,rose_contrastive_decode,local,0,0,125,512,16.562808332033455
ROSE,in,171,rose_contrastive_decode,local,0,0,145,512,16.505910351872444
ROSE,in,177,rose_contrastive_decode,local,0,0,124,415,13.371489421464503
ROSE,in,181,rose_contrastive_decode,local,0,0,129,436,14.056565271690488
ROSE,in,187,rose_contrastive_decode,local,0,0,139,512,16.547067750245333
ROSE,in,189,rose_contrastive_decode,local,0,0,138,503,16.230155183002353
ROSE,in,195,rose_contrastive_decode,local,0,0,126,386,12.420021343044937
ROSE,in,199,rose_contrastive_decode,local,0,0,124,130,4.191193395294249
ROSE,in,203,rose_contrastive_decode,local,0,0,123,91,2.9539775801822543
ROSE,in,207,rose_contrastive_decode,local,0,0,124,336,10.810255145654082
ROSE,in,208,rose_contrastive_decode,local,0,0,120,123,3.96952320728451
ROSE,in,210,rose_contrastive_decode,local,0,0,130,512,16.510703052394092
ROSE,in,216,rose_contrastive_decode,local,0,0,121,73,2.3663067230954766
ROSE,in,219,rose_contrastive_decode,local,0,0,144,119,3.845145897939801
ROSE,in,221,rose_contrastive_decode,local,0,0,121,166,5.35083794593811
ROSE,in,222,rose_contrastive_decode,local,0,0,135,439,14.140744103118777
ROSE,in,230,rose_contrastive_decode,local,0,0,153,363,11.724170997738838
ROSE,in,232,rose_contrastive_decode,local,0,0,122,500,16.111474501900375
ROSE,in,246,rose_contrastive_decode,local,0,0,140,493,15.922328319400549
ROSE,in,247,rose_contrastive_decode,local,0,0,124,198,6.395885022357106
ROSE,in,250,rose_contrastive_decode,local,0,0,131,20,0.6864899965003133
ROSE,in,253,rose_contrastive_decode,local,0,0,124,441,14.207261193543673
ROSE,in,254,rose_contrastive_decode,local,0,0,139,157,5.067189239896834
ROSE,in,257,rose_contrastive_decode,local,0,0,140,87,2.835184386000037
ROSE,in,260,rose_contrastive_decode,local,0,0,135,512,16.53919074870646
ROSE,in,265,rose_contrastive_decode,local,0,0,126,34,1.1216965606436133
ROSE,in,267,rose_contrastive_decode,local,0,0,131,512,16.518300858326256
ROSE,in,277,rose_contrastive_decode,local,0,0,159,107,3.4760993225499988
ROSE,in,281,rose_contrastive_decode,local,0,0,127,341,10.964981603436172
ROSE,in,287,rose_contrastive_decode,local,0,0,129,512,16.509884202852845
ROSE,in,288,rose_contrastive_decode,local,0,0,133,197,6.348984846845269
ROSE,in,289,rose_contrastive_decode,local,0,0,137,357,11.504234462045133
ROSE,in,295,rose_contrastive_decode,local,0,0,137,361,11.630001940764487
ROSE,in,299,rose_contrastive_decode,local,0,0,145,277,8.921372696757317
ROSE,in,303,rose_contrastive_decode,local,0,0,155,389,12.552084627561271
ROSE,in,308,rose_contrastive_decode,local,0,0,139,512,16.530140548944473
ROSE,in,313,rose_contrastive_decode,local,0,0,352,512,16.656130165793
ROSE,in,317,rose_contrastive_decode,local,0,0,130,350,11.296215317212045
ROSE,in,322,rose_contrastive_decode,local,0,0,132,419,13.496003785170615
ROSE,in,324,rose_contrastive_decode,local,0,0,131,417,13.431550852023065
ROSE,in,330,rose_contrastive_decode,local,0,0,130,215,6.949914418160915
ROSE,in,343,rose_contrastive_decode,local,0,0,134,74,2.4061266547068954
ROSE,in,344,rose_contrastive_decode,local,0,0,162,145,4.691130963154137
ROSE,in,346,rose_contrastive_decode,local,0,0,139,324,10.429426963441074
ROSE,in,347,rose_contrastive_decode,local,0,0,125,391,12.590604729019105
ROSE,in,349,rose_contrastive_decode,local,0,0,199,218,7.0405554082244635
ROSE,in,357,rose_contrastive_decode,local,0,0,131,458,14.777238140814006
ROSE,in,358,rose_contrastive_decode,local,0,0,138,111,3.7044210890308022
ROSE,in,360,rose_contrastive_decode,local,0,0,149,245,7.908843171782792
ROSE,in,368,rose_contrastive_decode,local,0,0,134,512,16.584775732830167
ROSE,in,375,rose_contrastive_decode,local,0,0,150,290,9.35517462529242
ROSE,in,381,rose_contrastive_decode,local,0,0,137,43,1.4179221680387855
ROSE,in,384,rose_contrastive_decode,local,0,0,146,67,2.1890021469444036
ROSE,in,387,rose_contrastive_decode,local,0,0,128,428,13.837027619592845
ROSE,in,388,rose_contrastive_decode,local,0,0,126,288,9.27476105466485
ROSE,in,398,rose_contrastive_decode,local,0,0,139,485,15.928534992039204
ROSE,in,399,rose_contrastive_decode,local,0,0,130,512,16.51008176896721
ROSE,in,405,rose_contrastive_decode,local,0,0,136,390,12.626214792020619
ROSE,in,407,rose_contrastive_decode,local,0,0,131,405,13.028576330281794
ROSE,in,413,rose_contrastive_decode,local,0,0,146,366,11.817105391994119
ROSE,in,414,rose_contrastive_decode,local,0,0,144,512,16.514384280890226
ROSE,in,417,rose_contrastive_decode,local,0,0,145,512,16.509695818647742
ROSE,in,418,rose_contrastive_decode,local,0,0,150,417,13.447248669341207
ROSE,in,425,rose_contrastive_decode,local,0,0,132,477,15.49866614677012
ROSE,in,426,rose_contrastive_decode,local,0,0,141,512,16.539800538681448
ROSE,in,427,rose_contrastive_decode,local,0,0,185,189,6.119458528235555
ROSE,in,429,rose_contrastive_decode,local,0,0,136,271,8.722473279573023
ROSE,in,437,rose_contrastive_decode,local,0,0,176,512,16.549089152365923
ROSE,in,442,rose_contrastive_decode,local,0,0,140,368,11.866759896278381
ROSE,in,444,rose_contrastive_decode,local,0,0,128,342,11.024269936606288
ROSE,in,445,rose_contrastive_decode,local,0,0,138,406,13.157584972679615
ROSE,in,450,rose_contrastive_decode,local,0,0,128,512,16.520734993740916
ROSE,in,453,rose_contrastive_decode,local,0,0,125,512,16.49073606263846
ROSE,in,462,rose_contrastive_decode,local,0,0,175,512,16.567214215174317
ROSE,in,465,rose_contrastive_decode,local,0,0,127,512,16.544942784123123
ROSE,in,466,rose_contrastive_decode,local,0,0,132,374,12.037903892807662
ROSE,in,476,rose_contrastive_decode,local,0,0,142,437,14.150203830562532
ROSE,in,477,rose_contrastive_decode,local,0,0,125,512,16.50958937034011
ROSE,in,479,rose_contrastive_decode,local,0,0,136,422,13.589833830483258
ROSE,in,480,rose_contrastive_decode,local,0,0,280,190,6.193595763295889
ROSE,in,483,rose_contrastive_decode,local,0,0,147,512,16.555420607328415
ROSE,in,493,rose_contrastive_decode,local,0,0,137,476,15.345041777938604
ROSE,in,495,rose_contrastive_decode,local,0,0,138,512,16.57134090177715
ROSE,in,496,rose_contrastive_decode,local,0,0,138,512,16.530312744900584
ROSE,in,497,rose_contrastive_decode,local,0,0,211,512,16.65151641704142
ROSE,in,498,rose_contrastive_decode,local,0,0,158,349,11.266281721182168
ROSE,in,510,rose_contrastive_decode,local,0,0,126,250,8.04377038218081
ROSE,in,512,rose_contrastive_decode,local,0,0,134,136,4.390751734375954
ROSE,in,513,rose_contrastive_decode,local,0,0,124,157,5.05851030908525
ROSE,in,517,rose_contrastive_decode,local,0,0,126,512,16.559680006466806
ROSE,in,524,rose_contrastive_decode,local,0,0,131,512,16.533359551802278
ROSE,in,528,rose_contrastive_decode,local,0,0,125,487,15.723177574574947
ROSE,in,529,rose_contrastive_decode,local,0,0,128,510,16.694437509402633
ROSE,in,531,rose_contrastive_decode,local,0,0,144,512,16.527286741882563
ROSE,in,533,rose_contrastive_decode,local,0,0,130,385,12.428887388668954
ROSE,in,539,rose_contrastive_decode,local,0,0,129,512,16.557110802270472
ROSE,in,546,rose_contrastive_decode,local,0,0,141,512,16.57178146019578
ROSE,in,549,rose_contrastive_decode,local,0,0,129,239,7.694858642295003
ROSE,in,564,rose_contrastive_decode,local,0,0,129,341,11.009143961593509
ROSE,in,568,rose_contrastive_decode,local,0,0,150,512,16.525463327765465
ROSE,in,572,rose_contrastive_decode,local,0,0,138,481,15.862830739468336
ROSE,in,577,rose_contrastive_decode,local,0,0,157,512,16.571071045473218
ROSE,in,584,rose_contrastive_decode,local,0,0,127,512,16.522214271128178
ROSE,in,585,rose_contrastive_decode,local,0,0,129,329,10.607877585105598
ROSE,in,593,rose_contrastive_decode,local,0,0,121,225,7.231236758641899
ROSE,in,595,rose_contrastive_decode,local,0,0,141,364,11.719207899644971
ROSE,in,600,rose_contrastive_decode,local,0,0,130,50,1.640660329721868
ROSE,in,602,rose_contrastive_decode,local,0,0,132,360,11.61382962577045
ROSE,in,605,rose_contrastive_decode,local,0,0,193,252,8.19022718258202
ROSE,in,606,rose_contrastive_decode,local,0,0,143,447,14.420550022274256
ROSE,in,612,rose_contrastive_decode,local,0,0,133,390,12.560498825274408
ROSE,in,613,rose_contrastive_decode,local,0,0,126,468,15.05623726081103
ROSE,in,616,rose_contrastive_decode,local,0,0,148,512,16.533428544178605
ROSE,in,623,rose_contrastive_decode,local,0,0,152,35,1.1713817520067096
ROSE,in,631,rose_contrastive_decode,local,0,0,159,347,11.246839333325624
ROSE,in,635,rose_contrastive_decode,local,0,0,138,512,16.56862337142229
ROSE,in,638,rose_contrastive_decode,local,0,0,146,512,16.52674951031804
ROSE,in,641,rose_contrastive_decode,local,0,0,122,231,7.4432657938450575
ROSE,in,646,rose_contrastive_decode,local,0,0,123,367,11.80920703522861
ROSE,in,649,rose_contrastive_decode,local,0,0,130,454,14.621276571415365
ROSE,in,650,rose_contrastive_decode,local,0,0,185,512,16.539778099395335
ROSE,in,651,rose_contrastive_decode,local,0,0,125,388,12.51925176102668
ROSE,in,652,rose_contrastive_decode,local,0,0,125,399,12.841264721006155
ROSE,in,653,rose_contrastive_decode,local,0,0,134,512,16.57214251346886
ROSE,in,654,rose_contrastive_decode,local,0,0,126,279,8.97360050585121
ROSE,in,657,rose_contrastive_decode,local,0,0,127,512,16.52595756482333
ROSE,in,658,rose_contrastive_decode,local,0,0,183,512,17.094187119975686
ROSE,in,659,rose_contrastive_decode,local,0,0,128,512,16.77477732207626
ROSE,in,669,rose_contrastive_decode,local,0,0,131,194,6.265034191310406
ROSE,in,670,rose_contrastive_decode,local,0,0,126,512,16.637416949495673
ROSE,in,676,rose_contrastive_decode,local,0,0,130,512,16.59220367949456
ROSE,in,686,rose_contrastive_decode,local,0,0,140,415,13.402311774902046
ROSE,in,698,rose_contrastive_decode,local,0,0,131,410,13.2432762933895
ROSE,in,701,rose_contrastive_decode,local,0,0,149,512,16.558524602092803
ROSE,in,706,rose_contrastive_decode,local,0,0,122,336,10.825243204832077
ROSE,in,709,rose_contrastive_decode,local,0,0,127,258,8.32374023552984
ROSE,in,715,rose_contrastive_decode,local,0,0,175,512,16.58620325382799
ROSE,in,717,rose_contrastive_decode,local,0,0,128,505,16.281363614834845
ROSE,in,720,rose_contrastive_decode,local,0,0,137,512,17.099521472118795
ROSE,in,724,rose_contrastive_decode,local,0,0,137,274,8.95076931361109
ROSE,in,730,rose_contrastive_decode,local,0,0,147,386,12.510831354185939
ROSE,in,732,rose_contrastive_decode,local,0,0,187,486,15.77444791700691
ROSE,in,738,rose_contrastive_decode,local,0,0,154,187,6.330013404600322
ROSE,in,742,rose_contrastive_decode,local,0,0,137,315,10.152478881180286
ROSE,in,748,rose_contrastive_decode,local,0,0,167,267,8.61054985690862
ROSE,in,750,rose_contrastive_decode,local,0,0,150,218,7.033274197019637
ROSE,in,751,rose_contrastive_decode,local,0,0,163,123,3.9833933943882585
ROSE,in,753,rose_contrastive_decode,local,0,0,137,414,13.335675650276244
ROSE,in,755,rose_contrastive_decode,local,0,0,136,340,10.939796037971973
ROSE,in,760,rose_contrastive_decode,local,0,0,142,389,12.579729816876352
ROSE,in,765,rose_contrastive_decode,local,0,0,143,474,15.409307033754885
ROSE,in,769,rose_contrastive_decode,local,0,0,133,389,12.53460559528321
